id,community,street,average_price,build_time,floor,room_shape,latitude,longitude,distance,school_num,bus_num,shop_num,hospital_num,work_num,subway_num
2307,金福家园一期,朝阳-定福庄 北京市朝阳区定福庄北街,44016,2001,低层(共18层),1室1厅,39.922334,116.560973,13411.7,46,3,1,28,5,0
53,富力城D区,朝阳-双井 广渠门外大街5号院,87051,2008,低层(共20层),4室2厅,39.902815,116.461348,5075.6,27,12,6,23,50,2
58,望都新地,昌平-北七家 北七家镇立汤路东,41011,2007,高层(共6层),2室1厅,40.133789,116.440399,24524.8,3,4,1,4,0,0
60,保利西山林语,海淀-海淀北部 上庄路与黑龙潭路交叉口西行约400米,59090,2009,中层(共8层),2室1厅,40.047059,116.229322,20907.9,2,6,0,5,0,0
59,龙腾苑五区,昌平-回龙观 回龙观城铁北300米处大鸭梨对面,38264,2003,高层(共6层),3室1厅,40.08243,116.338644,19431.9,23,28,14,35,12,1
63,二里庄小区,海淀-二里庄 二里庄,83837,1993,高层(共6层),2室1厅,40.001137,116.373769,9918.5,49,16,0,19,18,1
61,稻香园小区,海淀-中关村 万泉河路,83516,1998,高层(共6层),3室1厅,39.990853,116.324606,10813.8,50,12,7,19,50,1
62,爱这城,朝阳-十里堡 朝阳路,57317,2007,中层(共20层),2室2厅,39.924973,116.50541,8719.0,34,13,4,39,37,1
64,青塔春园,丰台-青塔 青塔春园位于丰台区玉泉路与大成路的交叉口,44067,2002,高层(共18层),2室1厅,39.896642,116.262532,12238.3,19,11,2,19,12,0
68,富锦嘉园一期,丰台-科技园区 西南四环边世界公园北侧,46695,2002,共5层,2室1厅,39.851918,116.310429,10627.6,19,10,0,12,5,2
69,桃园小区,门头沟-大峪 门头沟桃园小区,39156,2000,低层(共6层),2室1厅,39.933455,116.112781,24918.2,8,8,2,9,4,0
66,裕中西里,西城-德胜门 裕中西里10号大院,95759,2000,高层(共24层),2室1厅,39.975996,116.393447,6841.8,12,16,2,32,50,3
67,莲花小区,丰台-六里桥 西三环莲花桥西南角（海淀七一小学对面）,54772,1999,高层(共28层),3室2厅,39.907921,116.317343,7432.8,18,5,6,36,39,2
52,中铁顺鑫汇,顺义-顺义城 顺义林河南大街与顺仁路交汇处向北100处路西,25916,2015,中层(共9层),4室2厅,40.092674,116.665964,29802.4,0,8,0,1,0,0
71,美丽园,海淀-四季青 四季青桥南1500米营慧寺车站处,103448,2000,中层(共7层),2室2厅,39.962464,116.29464,10713.8,27,7,10,29,35,1
72,光彩国际公寓,朝阳-工体 工体西路18号,67129,2003,低层(共27层),3室2厅,39.93302,116.45093,4475.6,23,15,16,49,49,1
57,金隅万科城,昌平-昌平县城 京藏高速30出口往东800米，昌平城区南环路8号,39608,2010,高层(共22层),2室1厅,40.08505,116.325307,20061.6,21,25,5,26,6,0
51,石油大院,海淀-二里庄 学院路20号,82960,1990,高层(共16层),2室1厅,39.999519,116.36446,9984.1,47,12,0,18,39,0
54,新明胡同,西城-德胜门 新明胡同,106349,2000,中层(共6层),2室1厅,39.957107,116.387652,4885.1,33,15,1,30,35,1
2308,东亚五环国际,大兴-旧宫 镇政府南1.5公里,32391,2013,低层(共19层),2室1厅,39.714327,116.443011,22561.2,1,2,0,1,0,0
2309,东花市北里中区,崇文-崇文门 新世界商场向东200米,75000,1996,中层(共6层),3室2厅,39.903087,116.426453,2328.6,42,23,8,49,49,2
82,中景江山赋,顺义-后沙峪 后沙峪镇,73863,2013,低层(共9层),4室2厅,40.111767,116.551449,25226.9,12,21,3,7,4,0
79,新龙城,昌平-回龙观 龙泽苑城铁站南侧200米,50834,2007,中层(共20层),3室1厅,40.080957,116.375114,18616.9,12,11,1,19,7,2
81,中弘北京像素,朝阳-常营 朝阳北路与草房西路交汇处,85474,2012,中层(共14层),2室1厅,39.933531,116.618478,18405.2,15,14,1,7,5,1
86,物资部大院,西城-月坛 月坛北街25号院,109830,1990,低层(共6层),2室1厅,39.925001,116.343302,5294.4,17,12,7,25,21,0
83,中国铁建国际城,"朝阳-亚奥 朝阳北五环,城铁13号线北苑站北侧,北五环顾家庄桥47B出口沿北苑东路向北1500米",75675,2012,高层(共21层),2室1厅,40.049128,116.440719,15238.9,17,19,1,12,9,2
84,裘马都,朝阳-三元桥 尚家楼路2号院,86666,2006,中层(共22层),1室2厅,39.971174,116.464965,8125.8,19,10,3,17,49,1
90,龙湾别墅,顺义-中央别墅区 温榆河别墅区21号,41935,2008,共3层,4室3厅,40.099608,116.542462,23673.8,8,10,4,8,8,0
88,风度柏林,朝阳-双井 朝阳区西大望路59号,74684,2006,中层(共22层),1室1厅,39.89605,116.483586,7108.0,20,15,3,28,36,1
87,正阳小区,丰台-北大地 文体路2号,54499,1999,高层(共6层),3室1厅,39.864605,116.292823,11016.9,30,9,1,24,12,1
89,翠微2号院,海淀-公主坟 翠微路2号,100000,1983,共5层,2室1厅,39.916421,116.308301,8163.2,33,16,12,34,37,2
94,城南嘉园一期,丰台-马家堡 南四环路公益西桥的西北侧,50925,2004,低层(共6层),2室2厅,39.838187,116.435777,8961.3,3,8,0,0,0,0
91,骑河楼大街,东城-灯市口 骑河楼大街,88410,1988,高层(共6层),1室1厅,39.925202,116.421831,1897.2,46,19,20,46,48,2
92,润枫水尚,朝阳-朝青 青年路西里5号,63017,2008,低层(共15层),2室1厅,39.934731,116.518162,9979.2,31,9,6,18,18,1
93,颐慧佳园,海淀-四季青 蓝靛厂南路西侧,86746,2005,高层(共9层),1室1厅,39.962464,116.29464,10713.8,27,7,10,29,35,1
95,新兴年代,海淀-五棵松 太平路36号院,80537,2009,高层(共21层),2室2厅,39.906041,116.278681,10735.0,22,24,2,36,22,0
76,泰禾北京院子,朝阳- 孙河板块京密路与顺黄路交叉口往西500米,82385,2015,共3层,6室4厅,40.050424,116.541553,19081.7,2,10,0,1,0,1
78,前进花园牡丹苑,顺义-顺义城 卧龙环岛西南侧300米,36666,2013,低层(共15层),2室2厅,40.142252,116.645802,32594.5,16,17,3,24,2,1
2427,旗胜家园,"海淀-西三旗 东至建中路西侧路,西至黄平东侧路,南至西三旗路,北至13号线",34719,2009,高层(共28层),3室1厅,40.067226,116.368106,17200.7,14,7,2,7,5,0
103,首城双景,朝阳-双井 广渠路36号（双井桥东600米）,55369,2013,中层(共16层),2室2厅,39.89842,116.474887,6321.2,29,15,8,42,49,1
106,天桥北里,宣武-先农坛 天桥南大街与北纬路交叉口,110000,2000,共1层,1室1厅,39.883117,116.400238,3559.7,20,17,1,20,16,0
104,陶然北岸,宣武-陶然亭 虎坊路南口19号院,100354,2006,低层(共19层),3室2厅,39.882147,116.38607,3960.4,27,12,2,18,18,1
107,星河皓月,周边-燕郊 北京市正东燕郊经济技术开发区潮白河畔,26344,2007,中层(共18层),2室2厅,40.182431,116.664311,37084.2,7,19,0,6,0,0
109,澳景花庭,朝阳-奥林匹克公园 北京市朝阳区花虎沟8号院,71681,2004,低层(共15层),2室2厅,40.021016,116.370997,12119.3,9,5,1,17,4,0
117,强佑清河新城,海淀-清河 京藏高速清河桥西侧,60283,2009,中层(共27层),3室2厅,40.08505,116.31812,20274.4,17,18,4,31,6,0
108,花市枣苑,崇文-东花市 东花市大街118号,78703,2004,中层(共21层),2室1厅,39.902458,116.435773,3047.8,34,13,4,44,33,1
110,光大水墨风景,海淀-万柳 海淀区万柳中路8号‎,126742,2005,低层(共16层),3室2厅,39.974234,116.304035,10770.6,31,17,1,41,28,2
112,领秀硅谷,海淀-西二旗 上地西二旗大街,65203,2005,共5层,3室2厅,40.06149,116.315053,17965.3,11,10,4,8,38,1
113,石榴园北里,丰台-赵公口 南三环赵公桥往南1000米,45360,2000,中层(共6层),1室1厅,39.861518,116.420178,6105.0,40,14,2,16,22,1
114,芍药居北里,朝阳-芍药居 芍药居北里,81333,1997,中层(共7层),3室1厅,39.984463,116.441657,8364.4,49,9,2,44,14,1
115,沿海赛洛城,朝阳-百子湾 朝阳区百子湾东里沿海赛洛城202-7底商,56142,2009,高层(共18层),2室2厅,39.90449,116.50977,9096.8,32,12,4,14,37,1
116,城南嘉园三期,丰台-马家堡 马家堡西路与枫竹桥北路交接处,45081,2007,高层(共11层),4室2厅,39.867317,116.389571,5443.1,24,12,1,15,15,1
118,远见名苑,宣武-广安门 红居街,82476,2004,高层(共26层),2室1厅,39.892824,116.352995,5000.9,31,18,4,20,41,0
120,汇鸿家园,朝阳-管庄 常营南路50号,56000,2005,中层(共12层),2室2厅,39.925668,116.596139,16428.4,36,8,6,22,13,0
119,龙锦苑东三区,昌平-回龙观 东大街东口往南200米,36259,2009,低层(共6层),3室1厅,40.085512,116.367616,19211.7,25,23,2,38,7,1
99,天赐良园,通州-北关 西富河园6号,59668,2003,高层(共7层),1室1厅,39.931934,116.646062,20727.7,27,12,0,4,2,1
105,金色漫香苑,昌平-北七家 北亚花园东侧,40588,2013,高层(共8层),2室1厅,40.136623,116.428559,24731.9,4,4,1,3,1,0
98,华严北里小区,朝阳-健翔桥 民族园西路,60297,1991,中层(共6层),3室1厅,39.988491,116.38984,8260.5,26,13,5,13,49,2
100,四平园小区,宣武-陶然亭 南横东街97号,95194,2000,高层(共12层),3室2厅,39.889599,116.386125,3209.8,30,16,3,37,25,3
2530,中粮祥云国际生活区（住宅）,"顺义-中央别墅区 顺义空港工业区东临首都机场,南临新国展",50847,2013,高层(共14层),2室2厅,40.072582,116.573137,22685.5,6,10,0,10,10,0
125,K2清水湾,通州-运河大街 京哈高速北侧,60975,2011,高层(共27层),2室1厅,39.899079,116.674765,23162.9,28,14,0,8,4,0
126,美树假日嘉园,昌平-北七家 七北路(亚运村正北12公里名佳花园东侧),40838,2004,共4层,4室2厅,40.133741,116.440399,24519.6,3,4,1,4,0,0
128,龙锦苑东二区,昌平-回龙观 龙锦苑东二区,36259,2007,低层(共6层),3室1厅,40.087941,116.353623,19703.1,32,24,2,32,8,0
127,朝阳无限,朝阳-甘露园 甘露园1号院,48968,2003,低层(共14层),1室1厅,39.923738,116.518272,9793.5,26,12,5,22,32,1
129,北城根,昌平-昌平县城 北京昌平区北环路，北京市昌平区医药药材总公司西南侧,31081,2000,中层(共6层),2室1厅,40.235306,116.239653,38263.2,36,27,8,43,8,0
131,拓然家苑,昌平-昌平县城 百浮泉路拓然家园,31168,2003,高层(共6层),2室1厅,40.221724,116.216456,37655.2,16,6,0,10,2,0
130,后现代城,朝阳-百子湾 百子湾路16号,65760,2007,高层(共28层),1室1厅,39.905308,116.493649,7721.9,15,9,1,19,44,2
132,利泽西园,朝阳-望京 望京西路与广顺北大街路口以西约100米路南,54347,2000,低层(共24层),1室1厅,39.996211,116.464038,10379.4,22,15,0,24,47,1
134,佳和宜园,顺义-马坡 花园中路,30769,2004,低层(共6层),3室1厅,40.17998,116.661497,36722.8,10,17,0,11,0,0
136,北辰·香麓,海淀-海淀北部 山后新区温泉镇,49145,2010,低层(共6层),4室2厅,40.054946,116.187175,24154.0,8,5,0,2,2,0
138,美树假日嘉园,昌平-北七家 七北路(亚运村正北12公里名佳花园东侧),40838,2004,共4层,4室2厅,40.133741,116.440399,24519.6,3,4,1,4,0,0
137,易构空间,朝阳-百子湾 西大望路百子湾路甲16号,64599,2004,中层(共28层),1室1厅,39.906201,116.487277,7169.9,21,13,2,25,46,1
140,潮白河孔雀城剑桥郡,周边-燕郊 大厂县迎宾大道与蒋谭路交汇处,18902,2013,中层(共27层),2室2厅,39.877351,116.860381,39158.1,1,1,0,0,0,0
139,红玺台,朝阳-太阳宫 东北三环太阳宫桥向北800米(京承高速辅路东侧),133333,2012,高层(共29层),4室2厅,39.975129,116.440985,7392.2,49,13,7,46,24,1
142,时尚街区东区,通州-梨园 城铁梨园站云景东路66号,46236,2006,低层(共13层),3室1厅,39.877573,116.670614,23122.3,16,8,3,11,9,0
143,远洋一方花语苑,朝阳-双桥 朝阳区双桥东路3号院,50446,2000,中层(共9层),2室1厅,39.906116,116.60646,17296.4,5,2,1,3,5,0
123,世嘉博客,大兴-西红门 西红门镇地铁四号线站口,52830,2009,中层(共15层),1室1厅,39.796866,116.346897,14011.1,21,19,2,18,6,0
124,东方太阳城,顺义-顺义城 坐落于有东方莱茵河之美誉的顺义潮白河畔,30156,2006,共4层,3室2厅,40.182431,116.664311,37084.2,7,19,0,6,0,0
2714,中粮祥云国际生活区（别墅）,"顺义-中央别墅区 顺义空港工业区东临首都机场,南临新国展",48524,2013,中层(共14层),3室2厅,40.072582,116.573137,22685.5,6,10,0,10,10,0
1114,金隅大成时代中心,丰台-青塔 西四环五棵松桥南西四环与大成路交汇处,34198,2016,中层(共27层),1室2厅,39.903675,116.274817,11090.2,22,23,0,17,12,0
2778,定慧北里,海淀-定慧寺 定慧桥北定慧寺阜成路北阜成路与恩济西街交叉口的西北角,65625,1996,高层(共6层),2室1厅,39.930611,116.291266,9769.0,27,13,2,27,20,0
149,世界城,朝阳-东大桥 东大桥路10号,70395,2008,低层(共29层),4室2厅,39.923928,116.457416,4662.3,26,14,24,45,50,1
150,芍药居北里,朝阳-芍药居 芍药居北里,62305,2005,低层(共28层),2室1厅,39.984463,116.441657,8364.4,49,9,2,44,14,1
152,名都家苑,丰台-马家堡 马家堡西路32号院地铁4号线的首站,57779,2006,中层(共14层),2室2厅,39.844427,116.378477,8144.0,22,15,2,25,8,1
155,沿海赛洛城,朝阳-百子湾 朝阳区百子湾东里沿海赛洛城202-7底商,62807,2009,高层(共8层),1室1厅,39.90449,116.50977,9096.8,32,12,4,14,37,1
160,东亚·上北中心,昌平-回龙观 回龙观西大街9号院,32269,2009,低层(共21层),1室1厅,40.086862,116.345981,19738.8,17,29,9,31,14,0
157,金汉绿港,顺义-顺义城 前东街东兴路,38551,2000,中层(共18层),3室2厅,40.141295,116.667969,33739.0,20,19,1,42,5,1
158,颐慧佳园,海淀-四季青 蓝靛厂南路西侧,89542,2005,低层(共9层),2室1厅,39.962464,116.29464,10713.8,27,7,10,29,35,1
159,新龙城,昌平-回龙观 龙泽苑城铁站南侧200米,54561,2006,中层(共12层),2室1厅,40.080957,116.375114,18616.9,12,11,1,19,7,2
166,北京太阳城,昌平-小汤山 马坊桥东,30528,2007,高层(共9层),3室2厅,40.164945,116.394718,27803.8,2,4,0,1,0,0
162,傲城天月园,朝阳-北苑 亚运村正北2公里北苑路西侧,78947,2006,高层(共18层),3室2厅,40.002625,116.419139,9828.5,35,14,8,45,50,1
164,流星苑,丰台-马家堡 马家堡西路地铁4号线角门站南200米路东,47566,2011,中层(共16层),2室1厅,39.844368,116.382731,8060.9,26,13,2,19,10,1
165,怡海花园恒泰园,丰台-科技园区 南四环西路129号,57482,2000,低层(共29层),3室1厅,39.84011,116.310918,11508.1,17,9,1,7,12,1
145,中昂小时代,门头沟-大峪 门头沟区政府西北向500米处,44334,2016,高层(共19层),2室1厅,39.945917,116.108173,25457.4,23,14,8,29,4,0
167,新龙城,昌平-回龙观 龙泽苑城铁站南侧200米,49844,2006,低层(共20层),2室2厅,40.080957,116.375114,18616.9,12,11,1,19,7,2
148,天通苑北三区,昌平-天通苑 天通苑太平庄北街,31569,2004,中层(共6层),2室2厅,40.069775,116.432058,17375.4,20,12,0,27,3,1
1095,保利垄上,昌平-小汤山 小汤山镇(北六环61出口西北侧)立汤路9号‎,21939,2007,共3层,5室3厅,40.167934,116.398475,28128.9,2,3,0,1,0,0
171,光大花园,海淀-万柳 万柳泉宗路2号,104395,2000,中层(共17层),2室1厅,39.970079,116.306966,10292.8,49,15,6,37,37,1
173,北蜂窝66号院,海淀-军博 羊坊店中心小学东门往南50米,67105,1990,低层(共6层),3室1厅,39.905901,116.333783,6073.8,19,10,5,18,44,1
177,白纸坊西街,宣武-白纸坊 白纸坊西街,74679,2002,中层(共16层),2室1厅,39.886997,116.367883,4380.4,40,20,3,22,15,0
178,北京时代广场,房山-良乡 房山良乡大学地铁站北侧A口出西行100米,23333,2015,高层(共14层),1室1厅,39.741621,116.159602,28411.9,16,10,2,25,0,0
183,当代北辰MOMAVILLAGE,顺义-顺义城 卧龙环岛西南侧顺沙路与顺白路交汇处,30000,2016,高层(共11层),2室2厅,40.144321,116.645802,32773.0,11,10,2,10,2,0
179,芍药居小区,朝阳-芍药居 文学馆路,78140,1998,低层(共12层),3室1厅,39.984463,116.441657,8364.4,49,9,2,44,14,1
180,LOFTEL,朝阳-望京 望京湖光中街1号,28000,2016,高层(共10层),2室2厅,40.0033,116.473719,11476.6,22,21,11,42,47,2
181,双槐里小区,宣武-牛街 白纸坊双槐里,79487,1994,中层(共6层),3室1厅,39.8888,116.376826,3723.0,38,22,4,37,21,2
182,时尚街区西区,通州-梨园 云景东路,39461,2003,低层(共20层),2室1厅,39.886471,116.684716,24155.4,17,21,3,11,6,1
184,保利西山林语,海淀-海淀北部 上庄路与黑龙潭路交叉口西行约400米,57746,2009,高层(共8层),3室2厅,40.047059,116.229322,20907.9,2,6,0,5,0,0
185,西山国际城,海淀-田村 海淀区阜石路甲69号院,25000,2014,高层(共6层),3室2厅,39.934194,116.237075,14393.5,8,11,1,7,2,0
189,玫瑰御园,海淀-四季青 蓝靛厂南路中段，昆玉河西侧,96830,2006,中层(共9层),3室2厅,39.976325,116.293979,11595.9,7,12,0,12,3,2
187,首城双景,朝阳-双井 广渠路36号（双井桥东600米）,58563,2012,高层(共16层),2室1厅,39.89842,116.474887,6321.2,29,15,8,42,49,1
188,UHN国际村,朝阳-三元桥 西坝河东里2号院,79464,2008,低层(共32层),3室2厅,39.974967,116.458177,8111.3,27,13,4,18,34,1
191,华威北里,朝阳-潘家园 劲松南路和劲松中街交叉口的东南角,56109,1994,高层(共6层),2室1厅,39.883678,116.457196,5720.4,34,16,2,43,15,0
190,沿海赛洛城,朝阳-百子湾 朝阳区百子湾东里沿海赛洛城202-7底商,64721,2008,低层(共7层),2室1厅,39.90449,116.50977,9096.8,32,12,4,14,37,1
170,妇联小区,朝阳-定福庄 朝阳区朝阳路东五环大黄庄桥东100米,46242,1995,中层(共7层),3室1厅,39.937291,116.54864,12580.4,9,2,0,1,3,0
174,橡树湾,海淀-清河 毛纺路,80575,2011,低层(共25层),3室2厅,40.035048,116.347134,14201.0,21,8,9,26,9,0
169,京通苑,朝阳-管庄 朝阳管庄杨闸环岛西北角,34439,1998,低层(共24层),2室1厅,39.91827,116.605156,17159.3,12,8,7,13,11,1
1181,畅柳园,宣武-虎坊桥 南横东街97号,89099,2003,中层(共16层),1室1厅,39.889599,116.386125,3209.8,30,16,3,37,25,3
1495,流星花园三区,昌平-回龙观 东小口镇马连店流星花园三区,50384,2004,中层(共6层),3室2厅,40.099372,116.357673,20877.5,4,7,1,3,3,1
197,天通苑中苑,昌平-天通苑 东小口镇立水桥东路,31250,2008,中层(共6层),3室2厅,40.069775,116.432058,17375.4,20,12,0,27,3,1
199,新中西街,东城-东四 新中西街位于东城区东四十条地铁亚州大酒店南侧,82755,1988,中层(共7层),1室1厅,39.938856,116.445625,4431.1,21,9,4,48,50,1
202,模式口东里,石景山-模式口 石景山金鼎街,35294,1992,共3层,2室1厅,39.943656,116.158942,21137.2,5,2,0,9,0,0
201,新龙城,昌平-回龙观 龙泽苑城铁站南侧200米,54289,2006,高层(共9层),3室2厅,40.080957,116.375114,18616.9,12,11,1,19,7,2
204,人济山庄二期,海淀-紫竹桥 海淀紫竹院路1号,86921,2003,高层(共26层),3室2厅,39.948349,116.314367,8494.7,44,12,1,25,37,0
203,炫特区,朝阳-石佛营 十里堡一号,54424,2005,高层(共25层),1室1厅,39.922533,116.514772,9483.9,29,6,3,24,35,1
205,首开中晟广场,顺义-顺义城 顺义区顺义城顺白路与外环路交叉口,35714,2016,低层(共10层),2室2厅,40.156593,116.643551,33728.2,1,2,0,2,0,0
206,东亚五环国际,大兴-旧宫 镇政府南1.5公里,29670,2013,低层(共19层),2室2厅,39.714327,116.443011,22561.2,1,2,0,1,0,0
209,泰利明苑,朝阳-安贞 安外外馆斜街甲1号,54156,2000,高层(共17层),2室1厅,39.968544,116.412198,5994.7,30,16,3,38,48,0
207,国瑞城,崇文-崇文门 崇文门外大街与西花市大街交汇处,81250,2006,中层(共16层),2室2厅,39.907086,116.428209,2244.5,40,21,11,48,50,2
210,潘家坡胡同,东城-东直门 东四十条富华大厦东侧,87847,1964,高层(共6层),2室1厅,39.937162,116.44965,4607.1,22,10,10,47,48,0
213,晴翠园,朝阳-来广营 金盏乡温榆河畔，紧邻机场高速苇沟出口,97646,2006,共3层,5室3厅,40.022323,116.593336,20068.8,2,0,0,0,0,0
211,四平园小区,宣武-陶然亭 南横东街97号,94750,1999,高层(共12层),2室2厅,39.889599,116.386125,3209.8,30,16,3,37,25,3
194,棕榈滩别墅,顺义-中央别墅区 天竺温榆河畔(机场杨林路口右转1公里),53104,2008,共3层,4室3厅,40.045717,116.549896,19125.9,5,21,0,4,0,1
214,富力城D区,朝阳-双井 广渠门外大街5号院,87051,2008,低层(共20层),4室2厅,39.902815,116.461348,5075.6,27,12,6,23,50,2
215,广信嘉园,宣武-广安门 广安门内大街319号,66153,2003,低层(共25层),2室1厅,39.895945,116.360288,4288.5,27,17,1,27,42,1
195,人济山庄二期,海淀-紫竹桥 海淀紫竹院路1号,74686,2000,高层(共26层),4室2厅,39.948349,116.314367,8494.7,44,12,1,25,37,0
193,丽都水岸,朝阳-酒仙桥 芳园南里9号院,68273,2008,高层(共6层),3室2厅,39.974911,116.491039,9971.7,30,14,3,39,15,1
